Metropolitan Statistical Areas,2021 Dollars,2022 Dollars,2023 Dollars,US Rank 2023
"Mankato, MN","54,036","55,745","56,825",226
"Mansfield, OH","45,386","45,660","48,116",350
"McAllen-Edinburg-Mission, TX","34,807","32,961","34,373",384
"Medford, OR","57,180","58,570","62,541",134
"Memphis, TN-MS-AR","56,910","57,193","60,083",172
"Merced, CA","47,854","45,918","46,654",369
"Miami-Fort Lauderdale-Pompano Beach, FL","73,220","78,610","84,302",19
"Michigan City-La Porte, IN","49,173","50,903","53,144",284
"Midland, MI","60,417","60,467","64,106",116
"Midland, TX","119,423","144,331","143,469",2
"Milwaukee-Waukesha, WI","66,546","68,735","72,316",55
"Minneapolis-St. Paul-Bloomington, MN-WI","73,203","76,155","79,654",27
"Missoula, MT","62,167","64,137","68,344",83
"Mobile, AL","47,551","48,316","50,384",324
"Modesto, CA","52,389","51,092","53,058",286
"Monroe, LA","46,570","46,926","49,272",335
"Monroe, MI","52,860","56,960","59,956",176
"Montgomery, AL","49,259","50,135","53,266",282
"Morgantown, WV","50,575","52,306","55,012",252
"Morristown, TN","45,865","46,346","48,618",342
"Mount Vernon-Anacortes, WA","61,889","62,938","67,173",89
"Muncie, IN","45,152","45,910","47,629",356
"Muskegon, MI","46,526","47,460","49,244",337
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","50,624","51,334","54,210",261
"Napa, CA","87,015","89,219","94,973",10
"Naples-Marco Island, FL","121,237","125,249","134,527",4
"Nashville-Davidson--Murfreesboro--Franklin, TN","71,439","75,477","79,453",28
"New Bern, NC","53,592","54,318","57,334",213
"New Haven-Milford, CT","64,206","64,998","68,387",82
"New Orleans-Metairie, LA","62,890","62,881","66,588",92
"New York-Newark-Jersey City, NY-NJ-PA","83,995","86,058","91,448",12
"Niles, MI","60,474","60,359","61,127",155
"North Port-Sarasota-Bradenton, FL","69,235","70,120","74,949",47
"Norwich-New London, CT","64,463","66,356","69,755",72
"Ocala, FL","44,712","44,355","46,682",368
"Ocean City, NJ","73,283","73,240","78,963",30
"Odessa, TX","52,569","55,329","58,961",188
"Ogden-Clearfield, UT","53,442","55,999","59,122",186
"Oklahoma City, OK","57,984","62,194","64,468",113
"Olympia-Lacey-Tumwater, WA","58,681","61,296","65,892",99
"Omaha-Council Bluffs, NE-IA","65,576","71,406","75,033",45
"Orlando-Kissimmee-Sanford, FL","52,947","54,615","57,774",206
"Oshkosh-Neenah, WI","56,110","57,505","60,180",168
"Owensboro, KY","49,723","51,139","53,113",285
"Oxnard-Thousand Oaks-Ventura, CA","74,252","73,994","78,091",33
"Palm Bay-Melbourne-Titusville, FL","55,485","56,550","60,162",169
"Panama City, FL","54,283","53,728","56,070",238
"Parkersburg-Vienna, WV","54,324","55,305","58,164",196
"Pensacola-Ferry Pass-Brent, FL","53,135","54,268","56,938",222
"Peoria, IL","55,739","57,754","60,980",157
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","71,896","74,485","78,761",31
"Phoenix-Mesa-Chandler, AZ","60,086","62,555","66,365",96
"Pine Bluff, AR","40,784","41,764","42,135",381
"Pittsburgh, PA","64,898","66,750","70,559",63
"Pittsfield, MA","64,927","66,336","70,945",62
"Pocatello, ID","46,403","48,141","49,769",330
"Portland-South Portland, ME","69,744","73,385","78,085",34
"Portland-Vancouver-Hillsboro, OR-WA","69,099","71,037","74,992",46
"Port St. Lucie, FL","66,466","67,952","73,080",51
"Poughkeepsie-Newburgh-Middletown, NY","61,504","61,675","65,115",111
"Prescott Valley-Prescott, AZ","50,645","51,921","55,913",243
"Providence-Warwick, RI-MA","63,377","64,441","67,405",88
"Provo-Orem, UT","52,031","54,282","57,531",211
"Pueblo, CO","46,844","47,031","48,891",340
"Punta Gorda, FL","51,866","51,827","55,332",248
"Racine, WI","56,574","59,697","62,570",133
"Raleigh-Cary, NC","68,848","71,364","75,129",44
"Rapid City, SD","64,366","66,779","70,144",67
"Reading, PA","57,913","58,686","61,575",152
"Redding, CA","54,385","54,099","57,637",209
"Reno, NV","74,762","76,486","81,358",22
"Richmond, VA","66,074","67,805","71,794",59
"Riverside-San Bernardino-Ontario, CA","50,700","49,908","52,553",290
"Roanoke, VA","53,764","56,109","59,820",178
"Rochester, MN","63,801","65,848","68,561",78
"Rochester, NY","58,261","58,731","61,762",147
"Rockford, IL","51,191","51,869","54,249",260
"Rocky Mount, NC","48,221","48,929","51,308",310
"Rome, GA","44,177","44,332","46,727",366
"Sacramento-Roseville-Folsom, CA","66,588","66,642","70,418",64
"Saginaw, MI","48,903","48,088","50,278",327
"St. Cloud, MN","57,754","59,713","61,633",149
"St. George, UT","50,741","51,650","54,405",258
"St. Joseph, MO-KS","46,696","48,646","51,612",301
"St. Louis, MO-IL","67,489","70,837","75,577",42
"Salem, OR","53,543","54,703","57,774",206
"Salinas, CA","64,975","65,331","68,943",75
"Salisbury, MD-DE","57,318","60,590","62,081",143
"Salt Lake City, UT","63,510","66,506","70,395",65
"San Angelo, TX","59,864","61,157","65,650",102
"San Antonio-New Braunfels, TX","53,978","56,592","59,477",180
"San Diego-Chula Vista-Carlsbad, CA","73,084","74,476","79,122",29
"San Francisco-Oakland-Berkeley, CA","123,973","123,152","130,730",5
"San Jose-Sunnyvale-Santa Clara, CA","141,146","139,912","148,036",1
"San Luis Obispo-Paso Robles, CA","68,378","68,364","72,721",52
"Santa Cruz-Watsonville, CA","88,329","83,277","88,581",17
"Santa Fe, NM","70,477","72,932","77,717",35
"Santa Maria-Santa Barbara, CA","76,392","77,419","82,736",21
"Santa Rosa-Petaluma, CA","78,100","78,660","83,408",20
"Savannah, GA","55,129","55,573","58,046",198
"Scranton--Wilkes-Barre, PA","52,617","52,467","54,826",254
"Seattle-Tacoma-Bellevue, WA","89,358","92,291","99,339",9
"Sebastian-Vero Beach, FL","96,551","97,627","105,827",6
"Sebring-Avon Park, FL","41,497","41,476","44,177",378
"Sheboygan, WI","58,795","60,511","63,878",120
"Sherman-Denison, TX","52,462","53,088","55,946",241
"Shreveport-Bossier City, LA","55,609","58,177","61,150",154
"Sierra Vista-Douglas, AZ","49,715","50,530","53,304",281
"Sioux City, IA-NE-SD","58,238","62,415","65,153",109
"Sioux Falls, SD","74,342","75,314","78,354",32
"South Bend-Mishawaka, IN-MI","55,580","56,718","57,010",220
"Spartanburg, SC","53,005","51,359","53,700",273
"Spokane-Spokane Valley, WA","53,679","54,710","57,886",202
"Springfield, IL","57,255","57,550","60,446",163
"Springfield, MA","60,981","61,165","64,303",114
"Springfield, MO","48,889","50,481","53,435",278
"Springfield, OH","47,583","48,079","50,553",322
"State College, PA","54,767","54,756","57,800",204
"Staunton, VA","51,537","53,755","55,929",242
"Stockton, CA","55,952","56,363","59,361",182
"Sumter, SC","46,575","47,169","49,418",333
"Syracuse, NY","58,069","57,955","60,736",160
"Tallahassee, FL","51,561","51,754","55,363",247
"Tampa-St. Petersburg-Clearwater, FL","58,124","59,961","63,789",121
"Terre Haute, IN","45,867","46,485","48,561",343
"Texarkana, TX-AR","46,063","45,559","47,883",353
"The Villages, FL","66,960","66,114","71,231",61
"Toledo, OH","54,466","55,436","58,180",195
"Topeka, KS","53,682","54,434","57,810",203
"Trenton-Princeton, NJ","77,551","80,101","84,392",18
"Tucson, AZ","53,631","54,776","58,232",194
"Tulsa, OK","60,392","66,024","69,022",74
"Tuscaloosa, AL","41,586","42,157","44,281",376
"Twin Falls, ID","47,126","49,739","50,877",318
"Tyler, TX","62,358","65,495","66,887",90
"Urban Honolulu, HI","63,755","65,708","69,893",69
"Utica-Rome, NY","52,374","52,291","55,237",249
"Valdosta, GA","43,066","42,527","44,231",377
"Vallejo, CA","59,755","61,019","64,514",112
"Victoria, TX","57,243","56,092","59,170",184
"Vineland-Bridgeton, NJ","48,387","47,815","49,367",334
"Virginia Beach-Norfolk-Newport News, VA-NC","56,873","58,611","62,575",132
"Visalia, CA","49,064","46,995","48,253",349
"Waco, TX","49,248","50,431","53,528",277
"Walla Walla, WA","54,678","54,862","56,420",232
"Warner Robins, GA","48,770","47,938","49,649",332
"Washington-Arlington-Alexandria, DC-VA-MD-WV","81,121","84,517","89,396",14
"Waterloo-Cedar Falls, IA","53,972","55,528","57,114",217
"Watertown-Fort Drum, NY","52,862","53,146","54,926",253
"Wausau-Weston, WI","58,053","59,273","61,617",150
"Weirton-Steubenville, WV-OH","47,824","48,594","50,649",321
"Wenatchee, WA","57,722","58,989","62,458",137
"Wheeling, WV-OH","51,555","53,481","56,458",231
"Wichita, KS","56,548","57,170","60,375",164
"Wichita Falls, TX","50,624","53,342","56,148",236
"Williamsport, PA","50,449","50,940","53,630",275
"Wilmington, NC","57,786","59,442","62,278",139
"Winchester, VA-WV","57,829","58,837","62,115",141
"Winston-Salem, NC","53,449","54,744","57,101",218
"Worcester, MA-CT","63,348","65,083","67,810",86
"Yakima, WA","49,918","49,680","51,488",306
"York-Hanover, PA","57,329","58,305","60,915",159
"Youngstown-Warren-Boardman, OH-PA","48,878","49,271","51,869",300
"Yuba City, CA","51,568","50,207","52,354",295
"Yuma, AZ","44,461","45,028","46,441",370
"1. Per capita personal income was computed using U.S. Census Bureau midyear population estimates for 2021 through 2023, released in March 2024.",,,,
"Note. Metropolitan areas are defined (geographically delineated) by the Office of Management and Budget (OMB) Bulletin No. 20-01, issued March 6, 2020.",,,,
U.S. Bureau of Economic Analysis,,,,
